aspect_label,rep_phrase,appears_in
Andrew good teaching,andrew expert great teacher,both
Octave and Matlab,first disappointed homework needs done matlab octave instead,both
best course in coursera,one best courses ever coursera,both
execellent course,excellent course,both
great course,great course,both
hard math content,math content obviously must lot well explained,both
algorithm,helps understand implementation application basics basic yet powerful algorithms,5D
challenging programming exercises,good programming assignments,5D
excellent course,excelente curso muy bueno explicacion sencilla de las cosas,5D
good intro to data science,good overview data science,5D
good programming exercises,good programming assignments,10D
good way of teaching,es el mejor curso de todos gracias por compartir tanto conocimiento,10D
quiz questions,taught not sufficient quizzes,10D
